ImageFile,Position,PositionCue,Opacity,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",0.5,0,0,0,u,0,2.572342999999819,None,0,0,0,1,0.03387819999625208,,0.021566099996562116,0.03387819999625208,0.03387819999625208,1.0019604999979492,1.0514769000001252,1.1029901999936556,1.2176197999942815,1.4019426999948337,1.4349615999963135,2.621341999998549,u,0,2.572342999999819,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,1,1,0,u,0,1.7666344999961439,None,0,1,1,0,2.6346169999960694,,2.622950099997979,2.6346169999960694,2.6346169999960694,3.6362888000003295,3.6854915999938385,3.735540999994555,3.836280799994711,4.032697899994673,4.032697899994673,4.4046805999969365,u,0,1.7666344999961439,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,2,0,1,u,0,1.6257098999994923,None,1,0,2,0,4.428653699993447,,4.406910399993649,4.428653699993447,4.428653699993447,5.420366699996521,5.468002499997965,5.519679400000314,5.619415199995274,5.818511899997247,5.834312200000568,6.068272199998319,u,0,1.6257098999994923,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",0.5,3,1,1,u,0,1.704041299999517,None,1,1,3,1,6.085024899999553,,6.0701482000004034,6.085024899999553,6.085024899999553,7.068355799994606,7.11784539999644,7.166446299997915,7.266474399999424,7.482556199996907,7.498761799994099,7.80219329999818,u,0,1.704041299999517,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,4,0,2,u,0,1.565717900004529,None,2,0,4,0,7.8188794999950915,,7.804435099998955,7.8188794999950915,7.8188794999950915,8.80098879999423,8.852336999996623,8.898468799998227,9.000995199996396,9.200544699997408,9.235008099996776,9.387930499993672,u,0,1.565717900004529,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",0.5,5,1,2,u,0,1.6380548000015551,None,2,1,5,1,9.41092199999548,,9.390619300000253,9.41092199999548,9.41092199999548,10.402132099996379,10.450727199997345,10.501438100000087,10.602625699997589,10.803448099999514,10.81860400000005,11.052647199998319,u,0,1.6380548000015551,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",0.5,6,0,3,u,0,1.6443295999997645,None,3,0,6,1,11.068581999999878,,11.054435499994725,11.068581999999878,11.068581999999878,12.05125489999773,12.102456099994015,12.151349199994002,12.251016899994283,12.46772929999861,12.483637599994836,12.718306499999017,u,0,1.6443295999997645,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,7,1,3,u,0,1.5628435000035097,None,3,1,7,0,12.734432899997046,,12.720317299994349,12.734432899997046,12.734432899997046,13.717086499993457,13.767596999998204,13.833899400000519,13.916643899996416,14.117641799995909,14.134915299997374,14.30368059999455,u,0,1.5628435000035097,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",0.5,8,0,4,u,0,1.6676499999957741,None,4,0,8,1,14.314986899997166,,14.305364199994074,14.314986899997166,14.314986899997166,15.31828609999502,15.369821099993715,15.417033799996716,15.517702199998894,15.717544899998757,15.717544899998757,15.98544309999852,u,0,1.6676499999957741,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,9,1,4,u,0,1.565803199999209,None,4,1,9,0,16.00149419999798,,15.987424899998587,16.00149419999798,16.00149419999798,16.98549699999421,17.03544469999906,17.084882499999367,17.18393439999636,17.383534699998563,17.417332899996836,17.569773899995198,u,0,1.565803199999209,None,509907,001,2024-09-26_10h04.03.833,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.55966822884316,2024-09-26 10h04.09.103224 -0400,
