ImageFile,Position,PositionCue,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,Fixation_Point.stopped,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",0,0,0,u,0,0.6959048000007897,None,0,0,0,0,0.011784099999204045,,0.008966800000052899,0.011784099999204045,0.011784099999204045,0.713603799998964,u,0,0.6959048000007897,None,,,,,,,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",1,1,0,u,0,1.7571363000006386,None,0,1,1,1,0.7261216999995668,,0.7147798999994848,0.7261216999995668,0.7261216999995668,2.4938696999997774,u,0,1.7571363000006386,None,1.7260857000001124,1.776202299999568,1.8260888000004343,1.9260242999989714,2.1262599999990925,2.1262599999990925,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",2,0,1,u,0,2.6587534000009327,None,1,0,2,0,2.5096396999997523,,2.4952357999991364,2.5096396999997523,2.5096396999997523,5.177969099999245,u,0,2.6587534000009327,None,3.492992100000265,3.5428138000006584,3.609587700000702,3.70978869999999,3.9096676999997726,3.9096676999997726,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",3,1,1,u,0,2.4258719999997993,None,1,1,3,1,5.192853500000638,,5.179416400000264,5.192853500000638,5.192853500000638,7.626908899999762,u,0,2.4258719999997993,None,6.1927685999999085,6.2427262000001065,6.292990199999622,6.392634499999986,6.592826899999636,6.592826899999636,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",4,0,2,u,0,2.6504702000002,None,2,0,4,1,7.642652799999269,,7.628258700000515,7.642652799999269,7.642652799999269,10.294393799998943,u,0,2.6504702000002,None,8.625974399999905,8.676207000000431,8.725969299999633,8.826013399999283,9.042591800000082,9.026130000000194,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",5,1,2,u,0,2.949695999999676,None,2,1,5,0,10.309405699999843,,10.295833599999241,10.309405699999843,10.309405699999843,13.260338300000512,u,0,2.949695999999676,None,11.30924910000067,11.359355599999617,11.409374499999103,11.50973200000044,11.709338700000444,11.709338700000444,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",6,0,3,u,0,2.819416000000274,None,3,0,6,0,13.276044599999295,,13.261632699999609,13.276044599999295,13.276044599999295,16.110365000000456,u,0,2.819416000000274,None,14.259373700000651,14.30942639999921,14.37586999999985,14.459291900000608,14.676288799999384,14.676288799999384,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",7,1,3,u,0,2.608823600001415,None,3,1,7,1,16.12624169999981,,16.11222319999979,16.12624169999981,16.12624169999981,18.743661900000006,u,0,2.608823600001415,None,17.109511499998916,17.15943479999987,17.22590180000043,17.32597419999911,17.525803799999267,17.525803799999267,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",8,0,4,u,0,2.629115300000194,None,4,0,8,1,18.75945970000066,,18.744918500000495,18.75945970000066,18.75945970000066,21.393225599998914,u,0,2.629115300000194,None,19.742584100000386,19.792646399999285,19.859686100000545,19.9599089000003,20.159582899999805,20.142801099998906,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",9,1,4,s,0,2.2279874999985623,None,4,1,9,0,21.40952859999925,,21.394494300000588,21.40952859999925,21.40952859999925,23.643549500000518,s,0,2.2279874999985623,None,22.392682499999864,22.442666999999346,22.49261269999988,22.592604100000244,22.809264199999234,22.792459399999643,541817,001,2024-09-12_15h18.11.838,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.90897430483588,2024-09-12 15h18.15.835800 -0400,
