ImageFile,Position,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,Fixation_Point.stopped,text.started,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_0.png,"(-100, 100)",0,0,0,u,0,1.874410700000226,None,0,0,0,0,0.01100840000071912,,0.008397300000069663,0.01100840000071912,0.01100840000071912,1.0150768999992579,1.0652293999992253,1.115035099999659,1.21518499999911,1.4150561999995261,1.4150561999995261,1.9028868000004877,u,0,1.874410700000226,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)",1,1,0,u,0,1.8165406000007351,None,0,1,1,1,1.915179600000556,,1.904805899999701,1.915179600000556,1.915179600000556,2.915166099999624,2.9650875000006636,3.0151566000004095,3.11510140000064,3.3150587000000087,3.3150587000000087,3.733422299999802,u,0,1.8165406000007351,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)",2,0,1,u,0,1.8288635999997496,None,1,0,2,0,3.748307100000602,,3.7345081999992544,3.748307100000602,3.748307100000602,4.7484585999991396,4.798502300000109,4.848425199999838,4.948419500000455,5.148355900000752,5.148355900000752,5.582413800000722,u,0,1.8288635999997496,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)",3,1,1,u,0,1.7438486000010016,None,1,1,3,1,5.5984797999990406,,5.583585899999889,5.5984797999990406,5.5984797999990406,6.581474599999638,6.6316389000003255,6.681547399999545,6.78157309999915,6.998531199998979,6.981486900000164,7.349958900000274,u,0,1.7438486000010016,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)",4,0,2,u,0,1.7676226000003226,None,2,0,4,1,7.365078999999241,,7.351997499999925,7.365078999999241,7.365078999999241,8.365052699999069,8.415128299999196,8.465087000000494,8.56510370000069,8.765132999998968,8.765132999998968,9.149701199999981,u,0,1.7676226000003226,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)",5,1,2,u,0,1.9600262999992992,None,2,1,5,0,9.164793199999622,,9.15159820000008,9.164793199999622,9.164793199999622,10.164811599999666,10.214794899999106,10.26483080000071,10.36501379999936,10.565136499999426,10.565136499999426,11.132967999999892,u,0,1.9600262999992992,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)",6,0,3,u,0,1.6870364000005793,None,3,0,6,1,11.14825700000074,,11.135055499998998,11.14825700000074,11.14825700000074,12.148396599999614,12.198443900000711,12.248402900000656,12.348416599999837,12.548378699999375,12.548378699999375,12.8499752000007,u,0,1.6870364000005793,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)",7,1,3,u,0,2.0314655999991373,None,3,1,7,0,12.86475049999899,,12.852389100000437,12.86475049999899,12.86475049999899,13.865132599999924,13.914953800000148,13.96488920000047,14.065000700000382,14.264998599999672,14.264998599999672,14.900155699999232,u,0,2.0314655999991373,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)",8,0,4,u,0,1.6022179999999935,None,4,0,8,0,14.914904100000058,,14.902476900000693,14.914904100000058,14.914904100000058,15.914751399999659,15.964896199999203,16.014897200000632,16.114971400000286,16.31483710000066,16.31483710000066,16.532948099998976,u,0,1.6022179999999935,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)",9,1,4,u,0,1.5541265000010753,None,4,1,9,1,16.548123000000487,,16.534002399999736,16.548123000000487,16.548123000000487,17.54823149999902,17.59831630000008,17.648498599999584,17.748307199999545,17.94826959999955,17.94826959999955,18.116620000000694,u,0,1.5541265000010753,None,675069,001,2024-09-12_15h05.45.703,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.033775001281356,2024-09-12 15h05.48.937307 -0400,
