ImageFile,Position,PositionCue,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",0,0,0,u,0,2.3957756999880075,None,0,0,0,0,0.04062719992361963,,0.029613799997605383,0.04062719992361963,0.04062719992361963,1.0075185999739915,1.0584466999862343,1.108510399935767,1.2082874999614432,1.4074450999032706,1.440602399990894,2.444772799964994,u,0,2.3957756999880075,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",1,1,0,u,0,2.139696400030516,None,0,1,1,1,2.4572442999342456,,2.4463850999018177,2.4572442999342456,2.4572442999342456,3.4581933999434114,3.5074836999410763,3.5581137998960912,3.659226999967359,3.858655199990608,3.858655199990608,4.6098046998959035,u,0,2.139696400030516,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",2,0,1,u,0,1.346552399918437,None,1,0,2,0,4.6244898999575526,,4.612214799970388,4.6244898999575526,4.6244898999575526,5.60925719991792,5.657125799916685,5.725137699977495,5.82490439992398,,,5.977761299931444,u,0,1.346552399918437,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",3,1,1,u,0,1.928136800066568,None,1,1,3,1,6.003234899952076,,5.981041699997149,6.003234899952076,6.003234899952076,6.992357299895957,7.042127099935897,7.09160659997724,7.192348199896514,7.392552999895997,7.408898999914527,7.943728599930182,u,0,1.928136800066568,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",4,0,2,u,0,1.647972600068897,None,2,0,4,1,7.95806619990617,,7.946333899977617,7.95806619990617,7.95806619990617,8.958711199928075,9.008294399944134,9.05852069996763,9.158990599913523,9.358137399889529,9.358137399889529,9.611504199914634,u,0,1.647972600068897,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",5,1,2,u,0,1.9815077000530437,None,2,1,5,0,9.623842899920419,,9.613864699960686,9.623842899920419,9.623842899920419,10.624927799915895,10.673539299983531,10.724704499938525,10.824889399926178,11.024531899951398,11.024531899951398,11.610935000004247,u,0,1.9815077000530437,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",6,0,3,u,0,2.4810464000329375,None,3,0,6,1,11.636416299967095,,11.61399379989598,11.636416299967095,11.636416299967095,12.625446699908935,12.67535409994889,12.724229499930516,12.824823000002652,13.025870899902657,13.042434199946001,14.127494799904525,u,0,2.4810464000329375,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",7,1,3,u,0,1.608892900054343,None,3,1,7,0,14.152961599989794,,14.13070290000178,14.152961599989794,14.152961599989794,15.141548999934457,15.190720799961127,15.241370199946687,15.342280499986373,15.54192249989137,15.558294599992223,15.777483699959703,u,0,1.608892900054343,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",8,0,4,u,0,2.5399878999451175,None,4,0,8,0,15.803395699942484,,15.780548499897122,15.803395699942484,15.803395699942484,16.791779899969697,16.840621499926783,16.890347599983215,16.992074899957515,17.192506999941543,17.209371299948543,18.35963699989952,u,0,2.5399878999451175,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",9,1,4,u,0,5.218566700001247,None,4,1,9,1,18.373772299964912,,18.36240329989232,18.373772299964912,18.373772299964912,19.373881499981508,19.424306799890473,19.47524549998343,19.574877099948935,19.758780199917965,19.774645299999975,23.608708899933845,u,0,5.218566700001247,None,826839,001,2024-09-20_15h35.14.528,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.284361336138865,2024-09-20 15h35.19.388135 -0400,
